,year,tournament,round,match_time,player1,player2,player1_set1,player2_set1,player1_set2,player2_set2,player1_set3,player2_set3
50,2019,IDBI Federal Life Insurance Hyderabad Open 2019,SF,0:47,HEO Kwanghee,LOH Kean Yew,21,16,10,21,23,25
51,2019,IDBI Federal Life Insurance Hyderabad Open 2019,Final,0:52,LOH Kean Yew,Sourabh VERMA,13,21,21,14,16,21
52,2019,Russian Open 2019,R64,0:00,LOH Kean Yew,Walkover/Bye,BYE  ,BYE  ,,,,
53,2019,Russian Open 2019,R32,0:41,LOH Kean Yew,Ryotaro MARUO,21,9,21,11,,
54,2019,Russian Open 2019,R16,0:32,LOH Kean Yew,Dai WATANABE,21,14,21,9,,
55,2019,Russian Open 2019,QF,0:33,LOH Kean Yew,Chico  Aura DWI WARDOYO,21,14,21,10,,
56,2019,Russian Open 2019,SF,0:57,Kodai NARAOKA,LOH Kean Yew,16,21,18,21,,
57,2019,Russian Open 2019,Final,0:46,LOH Kean Yew,Shesar Hiren RHUSTAVITO,17,21,19,21,,
58,2019,CROWN GROUP Australian Open 2019,R32,0:36,CHONG Wei Feng,LOH Kean Yew,12,21,17,21,,
59,2019,CROWN GROUP Australian Open 2019,R16,1:02,LOH Kean Yew,Tommy SUGIARTO,19,21,22,20,15,21
60,2019,TOTAL BWF Sudirman Cup 2019,R1,0:36,Brian YANG,LOH Kean Yew,18,21,15,21,,
61,2019,TOTAL BWF Sudirman Cup 2019,R3,0:38,Alexander ROOVERS,LOH Kean Yew,13,21,16,21,,
62,2019,TOTAL BWF Sudirman Cup 2019,R1,1:02,Tien Minh NGUYEN,LOH Kean Yew,21,16,18,21,21,23
63,2019,BARFOOT & THOMPSON New Zealand Open 2019,R32,0:37,PRANNOY H. S.,LOH Kean Yew,21,15,21,14,,
64,2019,Badminton Asia Championships 2019,R32,0:42,LOH Kean Yew,SHI Yu Qi,12,21,13,21,,
65,2019,Singapore Open 2019,Qual. R16,0:44,LOH Kean Yew,LEE Cheuk Yiu,16,21,17,21,,
66,2019,Tong Yun Kai Cup 2019,R3,0:55,WANG Tzu Wei,LOH Kean Yew,21,15,13,21,13,21
67,2019,Tong Yun Kai Cup 2019,R1,0:53,PRANNOY H. S.,LOH Kean Yew,21,8,12,21,21,17
68,2019,Tong Yun Kai Cup 2019,QF,0:49,Shesar Hiren RHUSTAVITO,LOH Kean Yew,17,21,21,14,21,7
69,2019,Lingshui China Masters 2019,R64,1:00,LOH Kean Yew,CHEN Yen Chun,21,11,24,26,21,12
